Partial Array Size, Num Uncov Int, Num Edges
6380,4451,7506173
6380,4572,7937142
6380,4489,7653377
6385,4481,7614172
6385,4454,7511474
6385,4341,7151309
6385,4292,7006007
6385,4418,7410324
6385,4268,6913720
6385,4656,8216652
6385,4375,7259959
6385,4709,8401338
6385,4499,7679160
6390,4375,7273940
6390,4496,7656076
6390,4128,6470693
6390,4387,7300363
6390,4208,6722035
6390,4262,6905251
6390,4277,6943096
6390,4560,7886086
6390,4252,6863373
6390,4287,6973273
6395,4396,7310625
6395,4225,6770323
6395,4743,8538072
6395,4409,7359561
6395,4249,6856405
6395,4526,7739341
6395,4141,6494122
6395,4225,6774782
6395,4212,6738109
6395,4327,7091418
6400,4229,6798638
6400,4282,6945161
6400,4794,8691007
6400,4445,7500911
6400,4346,7176825
6400,4212,6715255
6400,4302,7031137
6400,4416,7405642
6400,4127,6477579
6400,4283,6957247
6405,4230,6781603
6405,4134,6502898
6405,4239,6823908
6405,4190,6670557
6405,4056,6245239
6405,4201,6675486
6405,4154,6554758
6405,4138,6486963
6405,4341,7172052
6405,4323,7100730
6410,4185,6639752
6410,4246,6836921
6410,4368,7244419
6410,4357,7201578
6410,4427,7417128
6410,4293,6998922
6410,4350,7158713
6410,4463,7558698
6410,4400,7319596
6410,3969,5983848
6415,4148,6527423
6415,4143,6518014
6415,4254,6875909
6415,4390,7318325
6415,4206,6706329
6415,4140,6504950
6415,4715,8417068
6415,4146,6520723
6415,4324,7076833
6415,4025,6148319
6420,4405,7338501
6420,4169,6607549
6420,4126,6476221
6420,4189,6656650
6420,4027,6163577
6420,4347,7181550
6420,4129,6477512
6420,4125,6448520
6420,4306,7032189
6420,4384,7286103
6425,4119,6417887
6425,3949,5927401
6425,4275,6939098
6425,4200,6662074
6425,4355,7183813
6425,4175,6594910
6425,4371,7234050
6425,4181,6610569
6425,4226,6770839
6425,4078,6295059
6430,3907,5807297
6430,4159,6544897
6430,4042,6201198
6430,4175,6610371
6430,4057,6238723
6430,4156,6544981
6430,3858,5647728
6430,4259,6863369
6430,4010,6092741
6430,3799,5480360
6435,3957,5946112
6435,4073,6289031
6435,3937,5896427
6435,4194,6665942
6435,4397,7332441
6435,4121,6418174
6435,4264,6896881
6435,4183,6652166
6435,4157,6543891
6435,4225,6748152
6440,4090,6357835
6440,4420,7368229
6440,4013,6116509
6440,4057,6242999
6440,3976,6005270
6440,4052,6217238
6440,4152,6525073
6440,3826,5554432
6440,4044,6197408
6440,4098,6373545
6445,4165,6554011
6445,4070,6288090
6445,4187,6637017
6445,4220,6734729
6445,4008,6093986
6445,3988,6050210
6445,3973,5991812
6445,4126,6452895
6445,3976,5998337
6445,4107,6399657
6450,4033,6171549
6450,4038,6166948
6450,3983,6018307
6450,4082,6311944
6450,4144,6490444
6450,4026,6149661
6450,4140,6513637
6450,4202,6666255
6450,4123,6427887
6450,3910,5814337
6455,4065,6268870
6455,3971,5996444
6455,4144,6514125
6455,4167,6596627
6455,4117,6422231
6455,4249,6823335
6455,4166,6576916
6455,3996,6065839
6455,3844,5601528
6455,3780,5423568
6460,3884,5725609
6460,3945,5896521
6460,3996,6051398
6460,4080,6322960
6460,3781,5420758
6460,4016,6112773
6460,4087,6322621
6460,4042,6200910
6460,3946,5912484
6460,4105,6397337
6465,4073,6303743
6465,4007,6094127
6465,3871,5700023
6465,4044,6221796
6465,4079,6318023
6465,3694,5173790
6465,3922,5841292
6465,3925,5813678
6465,4011,6105769
6465,3940,5881578
6470,3729,5284624
6470,3884,5737426
6470,4135,6474595
6470,3906,5773954
6470,4078,6306143
6470,3812,5510087
6470,3823,5538664
6470,3847,5611073
6470,3814,5522998
6470,4032,6168345
6475,4075,6285209
6475,4050,6224136
6475,3896,5746927
6475,3734,5287706
6475,3850,5636599
6475,3638,5032394
6475,3935,5876745
6475,3721,5259371
6475,3585,4875684
6475,3464,4562938
6480,3604,4934977
6480,3841,5595828
6480,3628,4999570
6480,3945,5887128
6480,4074,6285889
6480,3672,5120072
6480,3913,5822341
6480,3816,5538968
6480,3980,6016313
6480,3874,5702014
6485,3596,4901995
6485,3956,5942615
6485,3781,5422375
6485,3868,5649112
6485,3829,5563422
6485,3841,5594938
6485,3926,5844931
6485,3970,5976788
6485,3764,5384349
6485,3941,5882602
6490,3748,5332526
6490,3748,5335553
6490,3777,5419887
6490,3666,5104760
6490,3617,4972839
6490,3674,5125107
6490,3842,5593090
6490,3550,4787314
6490,3709,5227737
6490,3720,5255423
6495,3930,5859834
6495,3642,5031969
6495,3752,5345819
6495,3750,5320136
6495,3591,4892347
6495,3805,5480801
6495,3840,5584041
6495,3959,5939546
6495,3633,5016304
6495,3710,5216513
6500,3729,5281656
6500,3772,5402796
6500,3846,5622192
6500,3665,5092789
6500,3858,5648244
6500,3781,5410187
6500,3921,5823471
6500,4106,6377535
6500,3862,5658492
6500,3733,5281554
6505,3499,4651810
6505,3636,5031743
6505,4000,6047367
6505,3893,5737258
6505,3790,5441836
6505,3736,5287184
6505,3658,5077751
6505,3828,5553454
6505,3772,5401406
6505,3839,5566305
6510,3655,5065587
6510,3675,5126812
6510,3784,5416863
6510,3996,6030898
6510,3704,5209954
6510,3550,4784735
6510,3530,4716515
6510,3645,5051390
6510,3697,5175884
6510,3671,5108177
6515,3715,5241494
6515,3656,5058028
6515,3861,5638660
6515,3729,5283681
6515,3576,4854611
6515,3540,4759742
6515,3720,5256493
6515,3607,4943802
6515,3708,5216079
6515,3579,4857753
6520,3654,5077087
6520,3852,5622114
6520,3443,4505131
6520,3776,5373604
6520,3521,4694870
6520,3601,4922670
6520,3532,4731149
6520,3517,4708232
6520,3662,5091219
6520,3775,5399234
6525,3651,5048830
6525,3678,5123779
6525,3598,4907855
6525,3750,5327241
6525,3823,5555190
6525,3624,4980936
6525,3810,5499638
6525,3625,4991667
6525,3675,5110791
6525,3550,4787566
6530,3713,5234912
6530,3577,4866417
6530,3740,5291433
6530,3596,4907637
6530,3663,5084885
6530,3519,4711608
6530,3592,4896353
6530,3532,4731368
6530,3478,4597037
6530,3608,4952351
6535,3478,4595493
6535,3357,4269617
6535,3535,4746887
6535,3443,4507954
6535,3634,5007248
6535,3829,5554229
6535,3562,4821485
6535,3814,5500652
6535,3511,4655911
6535,3344,4244214
6540,3680,5134736
6540,3580,4857543
6540,3459,4535152
6540,3641,5015741
6540,3744,5323811
6540,3552,4786549
6540,3525,4717096
6540,3744,5318147
6540,3319,4192135
6540,3620,4967544
6545,3298,4127653
6545,3474,4586922
6545,3595,4909597
6545,3800,5454193
6545,3541,4748310
6545,3400,4389311
6545,3652,5034383
6545,3724,5234990
6545,3505,4669721
6545,3532,4739019
6550,3510,4670154
6550,3601,4921381
6550,3470,4565271
6550,3689,5150863
6550,3592,4885838
6550,3458,4537322
6550,3711,5199781
6550,3349,4260995
6550,3700,5191487
6550,3702,5178121
6555,3486,4608741
6555,3453,4529291
6555,3533,4743231
6555,3339,4240054
6555,3599,4897967
6555,3398,4384544
6555,3490,4633712
6555,3366,4299451
6555,3433,4461851
6555,3660,5079428
6560,3254,4029060
6560,3284,4074108
6560,3311,4150252
6560,3662,5053541
6560,3534,4739530
6560,3704,5183197
6560,3451,4512703
6560,3417,4412294
6560,3504,4665278
6560,3275,4074780
6565,3386,4350125
6565,3344,4232194
6565,3286,4103476
6565,3584,4846242
6565,3479,4592052
6565,3361,4289310
6565,3172,3807749
6565,3409,4395317
6565,3269,4052530
6565,3584,4870977
6570,3453,4518339
6570,3370,4310819
6570,3410,4409094
6570,3530,4729335
6570,3668,5088630
6570,3512,4675957
6570,3396,4375083
6570,3223,3934442
6570,3331,4214462
6570,3372,4307446
6575,3403,4402987
6575,3441,4480705
6575,3452,4524570
6575,3160,3795759
6575,3429,4456396
6575,3556,4792948
6575,3392,4370695
6575,3420,4431205
6575,3441,4495268
6575,3472,4565566
6580,3473,4565436
6580,3532,4731954
6580,3463,4546585
6580,3393,4366876
6580,3673,5101942
6580,3483,4610958
6580,3432,4466364
6580,3375,4308552
6580,3418,4427086
6580,3186,3856733
6585,3381,4338174
6585,3559,4794524
6585,3382,4333874
6585,3600,4879978
6585,3147,3772238
6585,3352,4269061
6585,3240,3989146
6585,3314,4170427
6585,3100,3651068
6585,3106,3653864
6590,3211,3912975
6590,3388,4342932
6590,3447,4510252
6590,3408,4407296
6590,3360,4281288
6590,3218,3928384
6590,3531,4714795
6590,3366,4279297
6590,3572,4816588
6590,3369,4308211
6595,3332,4216491
6595,3204,3888654
6595,3294,4118225
6595,3323,4198011
6595,3237,3968427
6595,3323,4178778
6595,3144,3745137
6595,2946,3299274
6595,3482,4598265
6595,3195,3875291
6600,3328,4195913
6600,3248,4001178
6600,3307,4150508
6600,3523,4701351
6600,3455,4527641
6600,3210,3906290
6600,3318,4166124
6600,3321,4191162
6600,3377,4322265
6600,3399,4367937
6605,3178,3839664
6605,3050,3527285
6605,3454,4527730
6605,3170,3810407
6605,3330,4205167
6605,3225,3954744
6605,3316,4164220
6605,3362,4276804
6605,3203,3895215
6605,3280,4080283
6610,3171,3811448
6610,3248,4004278
6610,3303,4130979
6610,3471,4550283
6610,3184,3839120
6610,3103,3654053
6610,3319,4185044
6610,3307,4146514
6610,3428,4450593
6610,3168,3802918
6615,3262,4028883
6615,3170,3826233
6615,3109,3672382
6615,3217,3914812
6615,3180,3833834
6615,3461,4517600
6615,3450,4506018
6615,3214,3910946
6615,3158,3785806
6615,3107,3670387
6620,3250,4012872
6620,3180,3824376
6620,3032,3475350
6620,3292,4117371
6620,3145,3752950
6620,3023,3471939
6620,3329,4180941
6620,3219,3922058
6620,3393,4367799
6620,3310,4140861
6625,3136,3741970
6625,3127,3710195
6625,3178,3833949
6625,3102,3642675
6625,3164,3792706
6625,3019,3461349
6625,3143,3749623
6625,3272,4047634
6625,3171,3814893
6625,3018,3460909
6630,3104,3658661
6630,3271,4055385
6630,3206,3891392
6630,3232,3968761
6630,3086,3617772
6630,3443,4493933
6630,3028,3484490
6630,3330,4208063
6630,3162,3789129
6630,3138,3742429
6635,3066,3562174
6635,3230,3960358
6635,3123,3698768
6635,2933,3275562
6635,3049,3534813
6635,3180,3834195
6635,3345,4233709
6635,3175,3819406
6635,3219,3937895
6635,3105,3650844
6640,3104,3655498
6640,3059,3546751
6640,2999,3405568
6640,3140,3733704
6640,3090,3618336
6640,3239,3984786
6640,2984,3381954
6640,3165,3799524
6640,3103,3648455
6640,3211,3885691
6645,2950,3305482
6645,3160,3784724
6645,3084,3614795
6645,3303,4136395
6645,3039,3496722
6645,2999,3408250
6645,3214,3915658
6645,3158,3794829
6645,3072,3570520
6645,3117,3691272
6650,2925,3248797
6650,3113,3663814
6650,2953,3313391
6650,3132,3716595
6650,3091,3616371
6650,2883,3161874
6650,3177,3814797
6650,3090,3621895
6650,3224,3941547
6650,2951,3305066
6655,3098,3643541
6655,2942,3286525
6655,3172,3803726
6655,3171,3813084
6655,2946,3295309
6655,2771,2914773
6655,2623,2616163
6655,3116,3691626
6655,2962,3336057
6655,3061,3554205
6660,3090,3602319
6660,2888,3162835
6660,2980,3366147
6660,3168,3799983
6660,3078,3599491
6660,2936,3278502
6660,2939,3282730
6660,2798,2975224
6660,3000,3405806
6660,3200,3878299
6665,3152,3754078
6665,2976,3367259
6665,3018,3448119
6665,3163,3788395
6665,3002,3422120
6665,3150,3753772
6665,3059,3541431
6665,3144,3742823
6665,2883,3158665
6665,2893,3178777
6670,2981,3364624
6670,3203,3887052
6670,2981,3376342
6670,2846,3070610
6670,2968,3340956
6670,2824,3023080
6670,2892,3176618
6670,3071,3565905
6670,2988,3379266
6670,2772,2917412
6675,2864,3114050
6675,2856,3090553
6675,2981,3357726
6675,2824,3027592
6675,2845,3064329
6675,3143,3748504
6675,2871,3130151
6675,2852,3084352
6675,2834,3043074
6675,2766,2911617
6680,2782,2940823
6680,3018,3451948
6680,2963,3330168
6680,3107,3653894
6680,2981,3342054
6680,2974,3344713
6680,3066,3547429
6680,3046,3509741
6680,2851,3089766
6680,2894,3181264
6685,2834,3048785
6685,2981,3379518
6685,3235,3959101
6685,3072,3578938
6685,3011,3435508
6685,2919,3231575
6685,3039,3490226
6685,2911,3213923
6685,2851,3079294
6685,2747,2866098
6690,2711,2793863
6690,2986,3370939
6690,2844,3049028
6690,2893,3175021
6690,2862,3108338
6690,2919,3233462
6690,3025,3470733
6690,2986,3375476
